AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2002,2003,1,Arrowtooth flounder,BSAI,139000,112000,12000,6,1,Arrowtooth flounderBSAI
2002,2003,1,Kamchatka flounder,BSAI,NA,NA,NA,7,1,Kamchatka flounderBSAI
2002,2003,1,Northern rock sole,BSAI,132000,110000,44000,8,1,Northern rock soleBSAI
2002,2003,1,Flathead sole,BSAI,81000,66000,20000,9,1,Flathead soleBSAI
2002,2003,1,Alaska plaice,BSAI,165000,137000,10000,10,1,Alaska plaiceBSAI
2002,2003,1,Other flatfish,BSAI,21400,16000,3000,11,1,Other flatfishBSAI
2002,2003,1,Pacific ocean perch,BSAI,18000,15100,14100,12,1,Pacific ocean perchBSAI
2002,2003,1,Pacific ocean perch,BS,NA,2410,1410,12,0,Pacific ocean perchBS
2002,2003,1,Pacific ocean perch,AI,NA,12690,12690,12,0,Pacific ocean perchAI
2002,2003,1,Pacific ocean perch,EAI,NA,3500,3500,12,0,Pacific ocean perchEAI
2002,2003,1,Pacific ocean perch,CAI,NA,3340,3340,12,0,Pacific ocean perchCAI
2002,2003,1,Pacific ocean perch,WAI,NA,5850,5850,12,0,Pacific ocean perchWAI
2002,2003,1,Sharpchin/Northern,BSAI,NA,NA,NA,19,1,Sharpchin/NorthernBSAI
2002,2003,1,Sharpchin/Northern,BS,NA,NA,NA,19,0,Sharpchin/NorthernBS
2002,2003,1,Sharpchin/Northern,AI,NA,NA,NA,19,0,Sharpchin/NorthernAI
2002,2003,1,Northern rockfish,BSAI,9468,7101,6000,13,1,Northern rockfishBSAI
2002,2003,1,Northern rockfish,BS,NA,NA,121,13,0,Northern rockfishBS
2002,2003,1,Northern rockfish,AI,NA,NA,5879,13,0,Northern rockfishAI
2002,2003,1,Blackspotted/Rougheye rockfish,BSAI,NA,NA,NA,14,1,Blackspotted/Rougheye rockfishBSAI
2002,2003,1,Blackspotted/Rougheye rockfish,BS/EAI,NA,NA,NA,14,0,Blackspotted/Rougheye rockfishBS/EAI
2002,2003,1,Blackspotted/Rougheye rockfish,CAI/WAI,NA,NA,NA,14,0,Blackspotted/Rougheye rockfishCAI/WAI
2002,2003,1,Shortraker rockfish,BSAI,NA,NA,NA,15,1,Shortraker rockfishBSAI
2002,2003,1,Shortraker rockfish,BSAI,1289,967,967,15,1,Shortraker rockfishBSAI
2002,2003,1,Shortraker rockfish,BS,NA,NA,137,15,0,Shortraker rockfishBS
2002,2003,1,Shortraker rockfish,AI,NA,NA,830,15,0,Shortraker rockfishAI
2002,2003,1,Other Red rockfish,BS,NA,NA,NA,11,0,Other Red rockfishBS
2002,2003,1,Other Red rockfish,AI,NA,NA,NA,11,0,Other Red rockfishAI
2002,2003,1,Other Red rockfish,BSAI,2126,1594,1594,11,1,Other Red rockfishBSAI
2002,2003,1,Other Red rockfish,BS,1280,960,960,11,0,Other Red rockfishBS
2002,2003,1,Other Red rockfish,AI,846,634,634,11,0,Other Red rockfishAI
2002,2003,1,Atka mackerel,BSAI,99700,63000,60000,17,1,Atka mackerelBSAI
2002,2003,1,Atka mackerel,EAI/BS,NA,10650,10650,17,0,Atka mackerelEAI/BS
2002,2003,1,Atka mackerel,CAI,NA,29360,29360,17,0,Atka mackerelCAI
2002,2003,1,Atka mackerel,WAI,NA,22990,19990,17,0,Atka mackerelWAI
2002,2003,1,Skates,BSAI,NA,NA,NA,18,1,SkatesBSAI
2002,2003,1,Sculpins,BSAI,NA,NA,NA,15,1,SculpinsBSAI
2002,2003,1,Sharks,BSAI,NA,NA,NA,19,1,SharksBSAI
2002,2003,1,Squids,BSAI,2620,1970,1970,21,1,SquidsBSAI
2002,2003,1,Octopuses,BSAI,NA,NA,NA,20,1,OctopusesBSAI
2002,2003,1,Other species,BSAI,81100,43300,32309,16,1,Other speciesBSAI
2001,2002,1,Pollock,BS,3530000,2110000,1485000,1,1,PollockBS
2001,2002,1,Pollock,AI,31700,23800,1000,1,1,PollockAI
2001,2002,1,Pollock,Bogoslof,46400,4310,100,1,1,PollockBogoslof
2001,2002,1,Pacific cod,BSAI,294000,223000,200000,2,1,Pacific codBSAI
2001,2002,1,Pacific cod,BS,NA,NA,NA,2,0,Pacific codBS
2001,2002,1,Pacific cod,AI,NA,NA,NA,2,0,Pacific codAI
2001,2002,1,Sablefish,BSAI Total,NA,NA,NA,3,1,SablefishBSAI Total
2001,2002,1,Sablefish,Alaska Total,NA,NA,NA,3,0,SablefishAlaska Total
2001,2002,1,Sablefish,BS,2900,1930,1930,3,1,SablefishBS
2001,2002,1,Sablefish,AI,3850,2550,2550,3,1,SablefishAI
2001,2002,1,Yellowfin sole,BSAI,136000,115000,86000,4,1,Yellowfin soleBSAI
2001,2002,1,Greenland turbot,BSAI,36500,8100,8000,5,1,Greenland turbotBSAI
2001,2002,1,Greenland turbot,BS,NA,5427,5360,5,0,Greenland turbotBS
2001,2002,1,Greenland turbot,AI,NA,2673,2640,5,0,Greenland turbotAI
2001,2002,1,Arrowtooth flounder,BSAI,137000,113000,16000,6,1,Arrowtooth flounderBSAI
2001,2002,1,Kamchatka flounder,BSAI,NA,NA,NA,7,1,Kamchatka flounderBSAI
2001,2002,1,Northern rock sole,BSAI,268000,225000,54000,8,1,Northern rock soleBSAI
2001,2002,1,Flathead sole,BSAI,101000,82600,25000,9,1,Flathead soleBSAI
2001,2002,1,Alaska plaice,BSAI,172000,143000,12000,10,1,Alaska plaiceBSAI
2001,2002,1,Other flatfish,BSAI,21800,18100,3000,11,1,Other flatfishBSAI
2001,2002,1,Pacific ocean perch,BSAI,17500,14800,14800,12,1,Pacific ocean perchBSAI
2001,2002,1,Pacific ocean perch,BS,NA,2620,2620,12,0,Pacific ocean perchBS
2001,2002,1,Pacific ocean perch,AI,NA,12180,12180,12,0,Pacific ocean perchAI
2001,2002,1,Pacific ocean perch,EAI,NA,3460,3460,12,0,Pacific ocean perchEAI
2001,2002,1,Pacific ocean perch,CAI,NA,3060,3060,12,0,Pacific ocean perchCAI
2001,2002,1,Pacific ocean perch,WAI,NA,5660,5660,12,0,Pacific ocean perchWAI
2001,2002,1,Sharpchin/Northern,BSAI,NA,NA,NA,19,1,Sharpchin/NorthernBSAI
