AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2018,2019,2,Pacific cod,W,n/a,"7,633","5,343",2.0,1,Pacific codW
2018,2019,2,Pacific cod,C,n/a,"7,667","5,750",2.0,1,Pacific codC
2018,2019,2,Pacific cod,E,n/a,"1,700","1,275",2.0,1,Pacific codE
2018,2019,2,Pacific cod,Total,"21,412","17,000","12,368",2.0,1,Pacific codTotal
2018,2019,2,Sablefish,W,n/a,"2,174","2,174",3.0,1,SablefishW
2018,2019,2,Sablefish,C,n/a,"7,260","7,260",3.0,1,SablefishC
2018,2019,2,Sablefish,WYK,n/a,"2,573","2,573",3.0,1,SablefishWYK
2018,2019,2,Sablefish,SEO,n/a,"4,187","4,187",3.0,1,SablefishSEO
2018,2019,2,Sablefish,E (WYK and SEO) (subtotal),n/a,"6,760","6,760",3.0,1,SablefishEWYKandSEOsubtotal
2018,2019,2,Sablefish,Total,"35,989","16,194","16,194",3.0,1,SablefishTotal
2018,2019,2,Shallow-water flatfish,W,n/a,"25,544","13,250",,1,Shallow-water flatfishW
2018,2019,2,Shallow-water flatfish,C,n/a,"25,655","25,655",,1,Shallow-water flatfishC
2018,2019,2,Shallow-water flatfish,WYK,n/a,"2,272","2,272",,1,Shallow-water flatfishWYK
2018,2019,2,Shallow-water flatfish,SEO,n/a,"1,951","1,951",,1,Shallow-water flatfishSEO
2018,2019,2,Shallow-water flatfish,Total,"68,114","55,422","43,128",,1,Shallow-water flatfishTotal
2018,2019,2,Deep-water flatfish,W,n/a,416,416,,1,Deep-water flatfishW
2018,2019,2,Deep-water flatfish,C,n/a,"3,442","3,442",,1,Deep-water flatfishC
2018,2019,2,Deep-water flatfish,WYK,n/a,"3,279","3,279",,1,Deep-water flatfishWYK
2018,2019,2,Deep-water flatfish,SEO,n/a,"2,361","2,361",,1,Deep-water flatfishSEO
2018,2019,2,Deep-water flatfish,Total,"11,431","9,499","9,499",,1,Deep-water flatfishTotal
2018,2019,2,Rex sole,W,n/a,"2,909","2,909",,1,Rex soleW
2018,2019,2,Rex sole,C,n/a,"8,236","8,236",,1,Rex soleC
2018,2019,2,Rex sole,WYK,n/a,"1,657","1,657",,1,Rex soleWYK
2018,2019,2,Rex sole,SEO,n/a,"1,727","1,727",,1,Rex soleSEO
2018,2019,2,Rex sole,Total,"17,692","14,529","14,529",,1,Rex soleTotal
2018,2019,2,Arrowtooth flounder,W,n/a,"35,844","14,500",,1,Arrowtooth flounderW
2018,2019,2,Arrowtooth flounder,C,n/a,"70,700","48,000",,1,Arrowtooth flounderC
2018,2019,2,Arrowtooth flounder,WYK,n/a,"15,845","6,900",,1,Arrowtooth flounderWYK
2018,2019,2,Arrowtooth flounder,SEO,n/a,"22,845","6,900",,1,Arrowtooth flounderSEO
2018,2019,2,Arrowtooth flounder,Total,"173,872","145,234","76,300",,1,Arrowtooth flounderTotal
2018,2019,2,Flathead sole,W,n/a,"13,222","8,650",,1,Flathead soleW
2018,2019,2,Flathead sole,C,n/a,"21,087","15,400",,1,Flathead soleC
2018,2019,2,Flathead sole,WYK,n/a,"2,013","2,013",,1,Flathead soleWYK
2018,2019,2,Flathead sole,SEO,n/a,424,424,,1,Flathead soleSEO
2018,2019,2,Flathead sole,Total,"44,822","36,746","26,487",,1,Flathead soleTotal
2018,2019,2,Pacific ocean perch,W,n/a,"3,240","3,240",,1,Pacific ocean perchW
2018,2019,2,Pacific ocean perch,C,n/a,"19,678","19,678",,1,Pacific ocean perchC
2018,2019,2,Pacific ocean perch,WYK,n/a,"3,298","3,298",,1,Pacific ocean perchWYK
2018,2019,2,Pacific ocean perch,W/C/WYK,"31,170","26,216","26,216",,1,Pacific ocean perchWCWYK
2018,2019,2,Pacific ocean perch,SEO,"2,840","2,389","2,389",,1,Pacific ocean perchSEO
2018,2019,2,Pacific ocean perch,Total,"34,010","28,605","28,605",,1,Pacific ocean perchTotal
2018,2019,2,Northern rockfish,W,n/a,382,382,,1,Northern rockfishW
2018,2019,2,Northern rockfish,C,n/a,"2,965","2,965",,1,Northern rockfishC
2018,2019,2,Northern rockfish,E,n/a,3,,,1,Northern rockfishE
2018,2019,2,Northern rockfish,Total,"3,984","3,350","3,347",,1,Northern rockfishTotal
2018,2019,2,Shortraker rockfish,W,n/a,44,44,,1,Shortraker rockfishW
2018,2019,2,Shortraker rockfish,C,n/a,305,305,,1,Shortraker rockfishC
2018,2019,2,Shortraker rockfish,E,n/a,514,514,,1,Shortraker rockfishE
2018,2019,2,Shortraker rockfish,Total,"1,151",863,863,,1,Shortraker rockfishTotal
2018,2019,2,Dusky rockfish,W,n/a,135,135,,1,Dusky rockfishW
2018,2019,2,Dusky rockfish,C,n/a,"3,246","3,246",,1,Dusky rockfishC
2018,2019,2,Dusky rockfish,WYK,n/a,215,215,,1,Dusky rockfishWYK
2018,2019,2,Dusky rockfish,SEO,n/a,72,72,,1,Dusky rockfishSEO
2018,2019,2,Dusky rockfish,Total,"4,488","3,668","3,668",,1,Dusky rockfishTotal
2018,2019,2,Rougheye and Blackspotted rockfish,W,n/a,174,174,,1,Rougheye and Blackspotted rockfishW
2018,2019,2,Rougheye and Blackspotted rockfish,C,n/a,550,550,,1,Rougheye and Blackspotted rockfishC
2018,2019,2,Rougheye and Blackspotted rockfish,E,n/a,703,703,,1,Rougheye and Blackspotted rockfishE
2018,2019,2,Rougheye and Blackspotted rockfish,Total,"1,715","1,427","1,427",,1,Rougheye and Blackspotted rockfishTotal
2018,2019,2,Demersal shelf rockfish,SEO,394,250,250,,1,Demersal shelf rockfishSEO
2018,2019,2,Thornyhead rockfish,W,n/a,344,344,,1,Thornyhead rockfishW
2018,2019,2,Thornyhead rockfish,C,n/a,921,921,,1,Thornyhead rockfishC
2018,2019,2,Thornyhead rockfish,E,n/a,773,773,,1,Thornyhead rockfishE
2018,2019,2,Thornyhead rockfish,Total,"2,717","2,038","2,038",,1,Thornyhead rockfishTotal
2018,2019,2,Other rockfish,W and C,n/a,"1,737","1,737",,1,Other rockfishWandC
2018,2019,2,Other rockfish,WYK,n/a,368,368,,1,Other rockfishWYK
2018,2019,2,Other rockfish,SEO,n/a,"3,488",200,,1,Other rockfishSEO
2018,2019,2,Other rockfish,Total,"7,356","5,593","2,305",,1,Other rockfishTotal
2018,2019,2,Atka mackerel,GW,"6,200","4,700","3,000",,1,Atka mackerelGW
2018,2019,2,Big skate,W,n/a,504,504,,1,Big skateW
2018,2019,2,Big skate,C,n/a,"1,774","1,774",,1,Big skateC
2018,2019,2,Big skate,E,n/a,570,570,,1,Big skateE
2018,2019,2,Big skate,Total,"3,797","2,848","2,848",,1,Big skateTotal
2018,2019,2,Longnose skate,W,n/a,149,149,,1,Longnose skateW
2018,2019,2,Longnose skate,C,n/a,"2,804","2,804",,1,Longnose skateC
2018,2019,2,Longnose skate,E,n/a,619,619,,1,Longnose skateE
2018,2019,2,Longnose skate,Total,"4,763","3,572","3,572",,1,Longnose skateTotal
2018,2019,2,Other skates,GW,"1,845","1,384","1,384",,1,Other skatesGW
2018,2019,2,Sculpins,GW,"6,958","5,301","5,301",24.0,1,SculpinsGW
2018,2019,2,Sharks,GW,"6,020","4,514","4,514",21.0,1,SharksGW
2018,2019,2,Squids,GW,"1,516","1,137","1,137",25.0,1,SquidsGW
2018,2019,2,Octopus,GW,"1,300",975,975,22.0,1,OctopusGW
2018,2019,2,Total,GOA,"604,413","480,187","376,417",23.0,1,TotalGOA
2018,2019,2,Pollock,Shumagin (610),n/a,"24,875","24,875",1.0,1,PollockShumagin610
2018,2019,2,Pollock,Chirikof (620),n/a,"67,388","67,388",1.0,1,PollockChirikof620
2018,2019,2,Pollock,Kodiak (630),n/a,"34,443","34,443",1.0,1,PollockKodiak630
2018,2019,2,Pollock,WYK (640),n/a,"5,748","5,748",1.0,1,PollockWYK640
2018,2019,2,Pollock,W/C/WYK (subtotal),"194,230","135,850","132,454",1.0,1,PollockWCWYKsubtotal
2018,2019,2,Pollock,SEO (650),"11,697","8,773","8,773",1.0,1,PollockSEO650
2018,2019,2,Pollock,Total,"205,927","144,623","141,227",1.0,1,PollockTotal
2018,2019,2,Pacific cod,W,n/a,"7,633","5,343",2.0,1,Pacific codW
2018,2019,2,Pacific cod,C,n/a,"7,667","5,750",2.0,1,Pacific codC
2018,2019,2,Pacific cod,E,n/a,"1,700","1,275",2.0,1,Pacific codE
2018,2019,2,Pacific cod,Total,"23,669","17,000","12,368",2.0,1,Pacific codTotal
2018,2019,2,Sablefish,W,n/a,"1,581","1,581",3.0,1,SablefishW
2018,2019,2,Sablefish,C,n/a,"5,178","5,178",3.0,1,SablefishC
2018,2019,2,Sablefish,WYK,n/a,"1,828","1,828",3.0,1,SablefishWYK
2018,2019,2,Sablefish,SEO,n/a,"2,984","2,984",3.0,1,SablefishSEO
2018,2019,2,Sablefish,E (WYK and SEO) (subtotal),n/a,"4,812","4,812",3.0,1,SablefishEWYKandSEOsubtotal
2018,2019,2,Sablefish,Total,"25,227","11,571","11,571",3.0,1,SablefishTotal
2018,2019,2,Shallow-water flatfish,W,n/a,"25,620","13,250",,1,Shallow-water flatfishW
2018,2019,2,Shallow-water flatfish,C,n/a,"25,731","25,731",,1,Shallow-water flatfishC
2018,2019,2,Shallow-water flatfish,WYK,n/a,"2,279","2,279",,1,Shallow-water flatfishWYK
2018,2019,2,Shallow-water flatfish,SEO,n/a,"1,957","1,957",,1,Shallow-water flatfishSEO
2018,2019,2,Shallow-water flatfish,Total,"68,309","55,587","43,217",,1,Shallow-water flatfishTotal
2018,2019,2,Deep-water flatfish,W,n/a,416,416,,1,Deep-water flatfishW
2018,2019,2,Deep-water flatfish,C,n/a,"3,443","3,443",,1,Deep-water flatfishC
2018,2019,2,Deep-water flatfish,WYK,n/a,"3,280","3,280",,1,Deep-water flatfishWYK
2018,2019,2,Deep-water flatfish,SEO,n/a,"2,362","2,362",,1,Deep-water flatfishSEO
2018,2019,2,Deep-water flatfish,Total,"11,434","9,501","9,501",,1,Deep-water flatfishTotal
