AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC
2008,2008,1,Rex Sole,WYK,,520,520
2008,2008,1,Sablefish,C,,"5,500","5,500"
2008,2008,1,Sablefish,SEO,,"3,390","3,390"
2008,2008,1,Sablefish,W,,"1,890","1,890"
2008,2008,1,Sablefish,WYK,,"1,950","1,950"
2008,2008,1,Shortraker Rockfish,C,,315,315
2008,2008,1,Shortraker Rockfish,E,,463,463
2008,2008,1,Shortraker Rockfish,W,,120,120
2008,2008,1,Thornyhead Rockfish,C,,860,860
2008,2008,1,Thornyhead Rockfish,E,,783,783
2008,2008,1,Thornyhead Rockfish,W,,267,267
2009,2009,1,Arrowtooth Flounder,C,,"164,251","30,000"
2009,2009,1,Arrowtooth Flounder,SEO,,"12,205","2,500"
2009,2009,1,Arrowtooth Flounder,W,,"30,148","8,000"
2009,2009,1,Arrowtooth Flounder,WYK,,"14,908","2,500"
2009,2009,1,Atka Mackerel,GW,"6,200","4,700","2,000"
2009,2009,1,Big Skates,C,,"2,065","2,065"
2009,2009,1,Big Skates,E,,633,633
2009,2009,1,Big Skates,W,,632,632
2009,2009,1,Demersal Shelf Rockfish,SEO,580,362,362
2009,2009,1,Flathead Sole,C,,"29,273","5,000"
2009,2009,1,Flathead Sole,SEO,,650,650
2009,2009,1,Flathead Sole,W,,"13,010","2,000"
2009,2009,1,Flathead Sole,WYK,,"3,531","3,531"
2009,2009,1,Longnose Skates,C,,"2,041","2,041"
2009,2009,1,Longnose Skates,E,,768,768
2009,2009,1,Longnose Skates,W,,78,78
2009,2009,1,Northern Rockfish,C,,"2,308","2,308"
2009,2009,1,Northern Rockfish,E,,0,0
2009,2009,1,Northern Rockfish,W,,"2,054","2,054"
2009,2009,1,Other Rockfish,C,,569,569
2009,2009,1,Other Rockfish,SEO,,"2,767",200
2009,2009,1,Other Rockfish,W,,357,357
2009,2009,1,Other Rockfish,WYK,,604,604
2009,2009,1,Other Skates,GW,"2,806","2,104","2,104"
2009,2009,1,Other Species,GW,"8,720","6,540","4,500"
2009,2009,1,Pacific Ocean Perch,C,"9,790","8,246","8,246"
2009,2009,1,Pacific Ocean Perch,SEO,,"2,044","2,044"
2009,2009,1,Pacific Ocean Perch,W,"4,409","3,713","3,713"
2009,2009,1,Pacific Ocean Perch,WYK,,"1,108","1,108"
2009,2009,1,Pacific cod,C,,"31,521","23,641"
2009,2009,1,Pacific cod,E,,"2,212","1,991"
2009,2009,1,Pacific cod,W,,"21,567","16,175"
2009,2009,1,Pelagic Shelf Rockfish,C,,"3,404","3,404"
2009,2009,1,Pelagic Shelf Rockfish,SEO,,324,324
2009,2009,1,Pelagic Shelf Rockfish,W,,819,819
2009,2009,1,Pelagic Shelf Rockfish,WYK,,234,234
2009,2009,1,Pollock,Chirikof (620),,"14,098","14,098"
2009,2009,1,Pollock,Kodiak (630),,"11,058","11,058"
2009,2009,1,Pollock,Shumagin (610),,"15,249","15,249"
2009,2009,1,Pollock,WYK (640),,"1,215","1,215"
2009,2009,1,Rex Sole,C,,"6,630","6,630"
2009,2009,1,Rex Sole,SEO,,846,846
2009,2009,1,Rex Sole,W,,"1,007","1,007"
2009,2009,1,Rex Sole,WYK,,513,513
2009,2009,1,Sablefish,C,,"4,990","4,990"
2009,2009,1,Sablefish,SEO,,"2,746","2,746"
2009,2009,1,Sablefish,W,,"1,640","1,640"
2009,2009,1,Sablefish,WYK,,"1,784","1,784"
2009,2009,1,Shortraker Rockfish,C,,315,315
2009,2009,1,Shortraker Rockfish,E,,463,463
2009,2009,1,Shortraker Rockfish,W,,120,120
2009,2009,1,Thornyhead Rockfish,C,,860,860
2009,2009,1,Thornyhead Rockfish,E,,783,783
2009,2009,1,Thornyhead Rockfish,W,,267,267
2010,2010,1,Arrowtooth Flounder,C,,"146,407","30,000"
2010,2010,1,Arrowtooth Flounder,SEO,,"11,867","2,500"
2010,2010,1,Arrowtooth Flounder,Total,"254,271","215,882","43,000"
