AssmentYr,ProjYear,lag,Area,Species,ABC,OFL,TAC,OY,Order
1993,1993,1,W,Pelagic Shelf Rockfish,1010,,1010,1,26
1993,1993,1,C,Other Species,,,9721,1,27
1993,1993,1,E,Other Species,,,1828,1,27
1993,1993,1,Total (GW),Other Species,,,14602,1,27
1993,1993,1,W,Other Species,,,3053,1,27
1993,1993,1,C,Shortraker/Rougheye Rockfish,1290,,1161,1,28
1993,1993,1,E,Shortraker/Rougheye Rockfish,570,,513,1,28
1993,1993,1,Total,Shortraker/Rougheye Rockfish,1960,2900,1764,1,28
1993,1993,1,W,Shortraker/Rougheye Rockfish,100,,90,1,28
1994,1994,1,610/620/630 (subtotal),Pollock,102000,,102000,1,1
1994,1994,1,Chirikof (620),Pollock,23870,230000,23870,1,1
1994,1994,1,E,Pollock,7300,16400,7300,1,1
1994,1994,1,Kodiak (630),Pollock,56000,,56000,1,1
1994,1994,1,Shumagin (610),Pollock,22130,,22130,1,1
1994,1994,1,Total,Pollock,109300,246600,109300,1,1
1994,1994,1,C,Pacific cod,31250,,31250,1,2
1994,1994,1,E,Pacific cod,2520,,2520,1,2
1994,1994,1,Total,Pacific cod,50400,71100,50400,1,2
1994,1994,1,W,Pacific cod,16630,,16630,1,2
1994,1994,1,C,Sablefish,11220,,11220,1,3
1994,1994,1,SEO,Sablefish,7140,,7140,1,3
1994,1994,1,Total,Sablefish,25500,31700,25500,1,3
1994,1994,1,W,Sablefish,2290,,2290,1,3
1994,1994,1,WYK,Sablefish,4850,,4850,1,3
1994,1994,1,C,Shallow-water Flatfish,12950,,12950,1,4
1994,1994,1,E,Shallow-water Flatfish,1180,,1180,1,4
1994,1994,1,Total,Shallow-water Flatfish,34420,44670,18630,1,4
1994,1994,1,W,Shallow-water Flatfish,20290,,4500,1,4
1994,1994,1,C,Deep-water Flatfish,12930,,7500,1,5
1994,1994,1,E,Deep-water Flatfish,3120,,3120,1,5
1994,1994,1,Total,Deep-water Flatfish,16510,19280,11080,1,5
1994,1994,1,W,Deep-water Flatfish,460,,460,1,5
1994,1994,1,C,Rex Sole,9310,,7500,1,6
1994,1994,1,E,Rex Sole,1840,,1840,1,6
1994,1994,1,Total,Rex Sole,11950,13960,10140,1,6
1994,1994,1,W,Rex Sole,800,,800,1,6
1994,1994,1,C,Arrowtooth Flounder,186270,,20000,1,7
1994,1994,1,E,Arrowtooth Flounder,21380,,5000,1,7
1994,1994,1,Total,Arrowtooth Flounder,236240,275930,30000,1,7
1994,1994,1,W,Arrowtooth Flounder,28590,,5000,1,7
1994,1994,1,C,Flathead Sole,23080,,5000,1,8
1994,1994,1,E,Flathead Sole,3650,,3000,1,8
1994,1994,1,Total,Flathead Sole,35850,39310,10000,1,8
1994,1994,1,W,Flathead Sole,9120,,2000,1,8
1994,1994,1,C,Pacific Ocean Perch,850,1100,714,1,9
1994,1994,1,E,Pacific Ocean Perch,1500,1960,1265,1,9
1994,1994,1,Total,Pacific Ocean Perch,3030,3940,2550,1,9
1994,1994,1,W,Pacific Ocean Perch,680,880,571,1,9
1994,1994,1,C,Northern Rockfish,4720,,4720,1,10
1994,1994,1,E,Northern Rockfish,40,,40,1,10
1994,1994,1,Total,Northern Rockfish,5760,10360,5760,1,10
1994,1994,1,W,Northern Rockfish,1000,,1000,1,10
1994,1994,1,SEO,Demersal Shelf Rockfish,960,1680,960,1,14
1994,1994,1,Total (GW),Thornyhead Rockfish,1180,1440,1180,1,15
1994,1994,1,C,Other Rockfish,1640,,988,1,16
1994,1994,1,E,Other Rockfish,6330,,1048,1,16
1994,1994,1,Total,Other Rockfish,8300,9850,2235,1,16
1994,1994,1,W,Other Rockfish,330,,199,1,16
1994,1994,1,C,Atka Mackerel,,,1000,1,17
1994,1994,1,E,Atka Mackerel,,,5,1,17
1994,1994,1,Total (GW),Atka Mackerel,4800,19040,3505,1,17
1994,1994,1,W,Atka Mackerel,,,2500,1,17
1994,1994,1,,Total,553050,803110,304595,1,23
1994,1994,1,C,Pelagic Shelf Rockfish,4550,,4550,1,26
1994,1994,1,E,Pelagic Shelf Rockfish,1310,,1310,1,26
1994,1994,1,Total,Pelagic Shelf Rockfish,6890,11550,6890,1,26
1994,1994,1,W,Pelagic Shelf Rockfish,1030,,1030,1,26
1994,1994,1,Total (GW),Other Species,,,14505,1,27
1994,1994,1,C,Shortraker/Rougheye Rockfish,1290,,1290,1,28
1994,1994,1,E,Shortraker/Rougheye Rockfish,570,,570,1,28
1994,1994,1,Total,Shortraker/Rougheye Rockfish,1960,2900,1960,1,28
1994,1994,1,W,Shortraker/Rougheye Rockfish,100,,100,1,28
1995,1995,1,610/620/630 (subtotal),Pollock,62000,,62000,1,1
1995,1995,1,Chirikof (620),Pollock,15310,266000,15310,1,1
1995,1995,1,E,Pollock,3360,14400,3360,1,1
1995,1995,1,Kodiak (630),Pollock,16310,,16310,1,1
1995,1995,1,Shumagin (610),Pollock,30380,,30380,1,1
1995,1995,1,Total,Pollock,65360,280400,65360,1,1
1995,1995,1,C,Pacific cod,45650,,45650,1,2
1995,1995,1,E,Pacific cod,3450,,3450,1,2
1995,1995,1,Total,Pacific cod,69200,126000,69200,1,2
1995,1995,1,W,Pacific cod,20100,,20100,1,2
1995,1995,1,C,Sablefish,8600,,8600,1,3
1995,1995,1,SEO,Sablefish,6200,,6200,1,3
1995,1995,1,Total,Sablefish,21500,25730,21500,1,3
1995,1995,1,W,Sablefish,2600,,2600,1,3
1995,1995,1,WYK,Sablefish,4100,,4100,1,3
1995,1995,1,C,Shallow-water Flatfish,23140,,12950,1,4
1995,1995,1,E,Shallow-water Flatfish,2850,,1180,1,4
1995,1995,1,Total,Shallow-water Flatfish,52270,60262,18630,1,4
1995,1995,1,W,Shallow-water Flatfish,26280,,4500,1,4
1995,1995,1,C,Deep-water Flatfish,8150,,7500,1,5
1995,1995,1,E,Deep-water Flatfish,5770,,3120,1,5
1995,1995,1,Total,Deep-water Flatfish,14590,17040,11080,1,5
1995,1995,1,W,Deep-water Flatfish,670,,460,1,5
1995,1995,1,C,Rex Sole,7050,,7050,1,6
1995,1995,1,E,Rex Sole,2810,,1840,1,6
